"","V1","保单号","V3","险种代码","V5","业务渠道","V7","机构代码","V9","分公司代码","V11","中心支公司代码","V13","支公司代码","V15","总保费","V17","总保额","V19","总折扣金额","V21","手续费比例","V23","代理人代码","V25","车损险保额","V27","三者险限额","V29","附加乘员险保额","V31","保单是否有免赔额","V33","车损险保费","V35","三者险保费","V37","附加乘员险保费","V39","被续保标志","V41","连续被续保年限","V43","续保标志","V45","续保年限","V47","本车是否投保不计免赔标识","V49","三者险是否投保不计免赔标识","V51","车损险附加险个数","V53","三者险附加险个数","V55","批改次数","V57","是否批改关系人","V59","是否批改驾驶人","V61","新车购置价","V63","实际价值","V65","行驶区域代码","V67","车辆已使用年限","V69","车辆生产国别","V71","机动车大类","V73","机动车细类","V75","车牌底色代码","V77","号牌种类代码","V79","标的车辆种类","V81","被保人与车辆关系","V83","是否约定驾驶员标志","V85","是否投保新增设备标志","V87","座位数","V89","排量","V91","使用性质","V93","交管车辆类型","V95","出险次数","V97","赔付金额","V99","案均赔款","V101","报案周期","V103","理赔周期","V105","支付周期","V107","投保人性别","V109","投保人年龄","V111","投保人是否有身份证号","V113","投保人是否有电话","V115","投保人电话是否来源于电销","V117","被保人性别","V119","被保人年龄","V121","被保人是否有身份证号","V123","被保人是否有电话","V125","被保人电话是否来源于电销","V127","上年出险次数","V129","上年赔款金额","V131","车损赔款","V133","客户忠诚度系数","V135","上年浮动原因码"
"1","保单号",1,"险种代码",1,"业务渠道",1,"机构代码",1,"分公司代码",1,"中心支公司代码",1,"支公司代码",1,"总保费",1,"总保额",1,"总折扣金额",1,"手续费比例",1,"代理人代码",1,"车损险保额",1,"三者险限额",1,"附加乘员险保额",1,"保单是否有免赔额",1,"车损险保费",1,"三者险保费",1,"附加乘员险保费",1,"被续保标志",1,"连续被续保年限",1,"续保标志",1,"续保年限",1,"本车是否投保不计免赔标识",1,"三者险是否投保不计免赔标识",1,"车损险附加险个数",1,"三者险附加险个数",1,"批改次数",1,"是否批改关系人",1,"是否批改驾驶人",1,"新车购置价",1,"实际价值",1,"行驶区域代码",1,"车辆已使用年限",1,"车辆生产国别",1,"机动车大类",1,"机动车细类",1,"车牌底色代码",1,"号牌种类代码",1,"标的车辆种类",1,"被保人与车辆关系",1,"是否约定驾驶员标志",1,"是否投保新增设备标志",1,"座位数",1,"排量",1,"使用性质",1,"交管车辆类型",1,"出险次数",1,"赔付金额",1,"案均赔款",1,"报案周期",1,"理赔周期",1,"支付周期",1,"投保人性别",1,"投保人年龄",1,"投保人是否有身份证号",1,"投保人是否有电话",1,"投保人电话是否来源于电销",1,"被保人性别",1,"被保人年龄",1,"被保人是否有身份证号",1,"被保人是否有电话",1,"被保人电话是否来源于电销",1,"上年出险次数",1,"上年赔款金额",1,"车损赔款",1,"客户忠诚度系数",1,"上年浮动原因码",1
"2","本车是否投保不计免赔标识",-0.998415312167381,"保单号",-0.946427435045367,"代理人代码",0.563204694581137,"支公司代码",0.409243960753448,"中心支公司代码",0.585496634483196,"分公司代码",0.585496634483196,"中心支公司代码",0.437736566023882,"车损险保费",0.901888293539973,"三者险限额",0.757589706321298,"新车购置价",0.501884091015167,"代理人代码",-0.896807499563788,"手续费比例",-0.896807499563788,"新车购置价",0.975472269304088,"总保额",0.757589706321298,"附加乘员险保费",0.989742504437737,"保单号",-0.90503194766857,"车损险保额",0.920290851323469,"总保费",0.635284158699421,"附加乘员险保额",0.989742504437737,"连续被续保年限",-0.92111179126616,"被续保标志",-0.92111179126616,"续保年限",-0.80864736209359,"续保标志",-0.80864736209359,"三者险是否投保不计免赔标识",0.999809091335158,"本车是否投保不计免赔标识",0.999809091335158,"总保费",0.262622165644057,"三者险是否投保不计免赔标识",-0.337914311562916,"是否批改关系人",-0.468886336665525,"批改次数",-0.468886336665525,"是否约定驾驶员标志",0.259274971141396,"实际价值",0.997569631490848,"新车购置价",0.997569631490848,"是否约定驾驶员标志",0.163607764080702,"续保年限",0.381932162336909,"车损险保额",-0.397300450853081,"标的车辆种类",0.999862980628722,"交管车辆类型",0.708224677975643,"号牌种类代码",0.642175070528672,"车牌底色代码",0.642175070528672,"机动车大类",0.999862980628722,"车辆已使用年限",-0.118524371953735,"是否批改驾驶人",0.259274971141396,"号牌种类代码",0.0506697848061878,"标的车辆种类",0.225351042726128,"标的车辆种类",-0.047029842236877,"被保人是否有身份证号",0.880317777988711,"机动车细类",0.708224677975643,"理赔周期",-0.273385099463992,"案均赔款",0.93397404049662,"赔付金额",0.93397404049662,"出险次数",-0.0769590451594605,"案均赔款",0.316952496250094,"出险次数",-0.160537845388113,"被保人性别",0.841994877865957,"被保人年龄",0.95906279793692,"被保人是否有身份证号",0.964019482762849,"被保人是否有电话",0.982101925309534,"被保人电话是否来源于电销",0.997627347508519,"投保人性别",0.841994877865957,"投保人年龄",0.95906279793692,"投保人是否有身份证号",0.964019482762849,"投保人是否有电话",0.982101925309534,"投保人电话是否来源于电销",0.997627347508519,"上年赔款金额",0.26940475472299,"上年出险次数",0.26940475472299,"赔付金额",0.605964277584263,"上年浮动原因码",0.445332687635678,"客户忠诚度系数",0.445332687635678
"3","三者险是否投保不计免赔标识",-0.998224816879215,"本车是否投保不计免赔标识",0.939165948581935,"手续费比例",-0.505335173227361,"中心支公司代码",0.251567442769581,"客户忠诚度系数",0.196905062440218,"支公司代码",0.437736566023882,"机构代码",0.409243960753448,"车损险保额",0.749859904154153,"总保费",0.627840237419619,"实际价值",0.500499950763093,"业务渠道",-0.505335173227361,"业务渠道",0.563204694581137,"实际价值",0.974560135514074,"三者险保费",0.373085127830686,"总保额",0.478140674264092,"本车是否投保不计免赔标识",0.903656088607396,"新车购置价",0.902384270581122,"号牌种类代码",-0.594839706720283,"总保额",0.47559376333275,"续保标志",0.178933553692278,"续保标志",-0.173615085702633,"客户忠诚度系数",0.374401278362493,"车辆已使用年限",0.381932162336909,"保单号",-0.998415312167381,"保单号",-0.998224816879215,"车损险保费",0.206516495067825,"本车是否投保不计免赔标识",-0.337870282037515,"是否批改驾驶人",-0.134547035075734,"被保人是否有电话",-0.0667873367574828,"批改次数",-0.134547035075734,"车损险保额",0.975472269304088,"车损险保额",0.974560135514074,"三者险限额",0.153199603022766,"续保标志",-0.325831888797845,"实际价值",-0.395509576523729,"机动车细类",0.681548448479155,"标的车辆种类",0.681578978447413,"三者险保费",-0.414414052814218,"三者险保费",-0.594839706720283,"机动车细类",0.681578978447413,"中心支公司代码",0.0896627373603095,"行驶区域代码",0.163607764080702,"三者险保费",-0.0399013653155294,"机动车大类",0.225218358111009,"机动车大类",-0.0470142517893782,"投保人是否有身份证号",0.859751340838293,"机动车大类",0.628382270686536,"车损赔款",-0.273123265245929,"车损赔款",0.605964277584263,"车损赔款",0.579402885570451,"理赔周期",0.04070912880912,"赔付金额",0.304247730238617,"理赔周期",0.075558384561606,"机动车细类",-0.101573804952667,"车辆已使用年限",0.255466919889066,"使用性质",0.859751340838293,"投保人是否有身份证号",0.444917109342493,"投保人是否有电话",-0.053965816845478,"机动车细类",-0.102892869875088,"车辆已使用年限",0.25519451187921,"使用性质",0.880317777988711,"被保人是否有身份证号",0.437067485434546,"投保人是否有电话",-0.053852562337145,"上年浮动原因码",0.209707210883384,"车损险保费",0.130904373173776,"案均赔款",0.579402885570451,"续保标志",0.374401278362493,"保单号",-0.361889483092476
"4","险种代码",-0.946427435045367,"三者险是否投保不计免赔标识",0.938986797530685,"机构代码",-0.211534283508967,"业务渠道",-0.211534283508967,"三者险附加险个数",0.188276931215345,"机构代码",0.251567442769581,"客户忠诚度系数",-0.206607136549393,"新车购置价",0.741945577309451,"车损险保额",0.576484177198127,"车损险保额",0.496880723311381,"交管车辆类型",-0.187643002119117,"交管车辆类型",0.260829895799647,"车损险保费",0.920290851323469,"总保费",0.267977425203894,"总保费",0.190706674948573,"三者险是否投保不计免赔标识",0.903483572830044,"总保费",0.901888293539973,"使用性质",-0.468295005973908,"总保费",0.22672509048507,"续保年限",-0.164066694954493,"续保年限",0.156592959650538,"车辆已使用年限",-0.325831888797845,"客户忠诚度系数",-0.29762304019006,"险种代码",0.939165948581935,"险种代码",0.938986797530685,"车辆已使用年限",-0.194958136671152,"保单号",0.336528776426466,"续保标志",0.119087421881712,"投保人是否有电话",-0.0578381393927015,"行驶区域代码",0.0495711984882692,"车损险保费",0.902384270581122,"车损险保费",0.89974865791466,"分公司代码",0.141248871943831,"投保人年龄",0.255466919889066,"新车购置价",-0.39373159066987,"交管车辆类型",0.628382270686536,"机动车大类",0.681548448479155,"使用性质",0.366743451870613,"使用性质",0.494914085204859,"交管车辆类型",0.628358523212726,"使用性质",0.0895772410998882,"上年出险次数",-0.10491548654427,"车牌底色代码",0.0365946707495577,"号牌种类代码",-0.177847788654365,"机动车细类",-0.0329292600826658,"号牌种类代码",0.494914085204859,"标的车辆种类",0.628358523212726,"赔付金额",-0.217950232453476,"理赔周期",0.304247730238617,"理赔周期",0.316952496250094,"赔付金额",0.0398915217469029,"出险次数",-0.273385099463992,"车损赔款",0.0386362165319702,"投保人年龄",0.094024370412532,"续保年限",0.146765904726791,"投保人是否有电话",0.444917109342493,"被保人是否有身份证号",0.428593995110127,"被保人是否有电话",-0.0531901520875604,"被保人年龄",0.0949016335439809,"续保年限",0.14729475899932,"被保人是否有电话",0.437067485434546,"投保人是否有身份证号",0.421155064418696,"被保人是否有电话",-0.0533235887225949,"交管车辆类型",0.131340208328089,"总保费",0.123700837890563,"出险次数",-0.273123265245929,"保单号",-0.361770708402427,"本车是否投保不计免赔标识",0.361025698398918
"5","保单是否有免赔额",-0.90503194766857,"保单是否有免赔额",0.855037956583935,"三者险限额",-0.154236310312177,"手续费比例",0.158355060625048,"车损险附加险个数",-0.17495688912507,"三者险附加险个数",0.119991371247549,"代理人代码",-0.199813527387525,"实际价值",0.738862227069186,"实际价值",0.565448045591477,"总保费",0.41276077016267,"支公司代码",0.186713452635161,"使用性质",0.202746677842346,"总保费",0.749859904154153,"总折扣金额",0.225066785003465,"三者险附加险个数",0.127144644610942,"险种代码",0.855037956583935,"实际价值",0.89974865791466,"标的车辆种类",-0.466164239012615,"三者险附加险个数",0.123858437699668,"保单号",0.125931350721429,"手续费比例",-0.125975348706436,"被续保标志",0.178933553692278,"被续保标志",-0.164066694954493,"保单是否有免赔额",0.903656088607396,"保单是否有免赔额",0.903483572830044,"三者险附加险个数",0.193593862620247,"险种代码",-0.311448440135095,"车损险附加险个数",0.118558552118296,"交管车辆类型",0.0476900915607415,"上年浮动原因码",-0.0319801808582172,"总保费",0.741945577309451,"总保费",0.738862227069186,"上年浮动原因码",-0.127163309059188,"被保人年龄",0.25519451187921,"车损险保费",-0.388579205007048,"三者险保费",-0.462767989983076,"使用性质",0.425139059231958,"标的车辆种类",0.319310465541237,"标的车辆种类",0.440675331469718,"三者险保费",-0.466164239012615,"分公司代码",0.0890815026811289,"上年浮动原因码",-0.0862015653455499,"机动车大类",0.0350640257308135,"机动车细类",-0.171682971433187,"使用性质",-0.0322581580534235,"三者险保费",-0.468295005973908,"使用性质",0.422347936640387,"案均赔款",-0.184292605963215,"出险次数",-0.217950232453476,"出险次数",-0.184292605963215,"案均赔款",0.0302127676924829,"车损赔款",0.195780534013977,"赔付金额",0.0302116592953541,"被保人年龄",0.0939273029810843,"续保标志",-0.135620914032773,"被保人是否有电话",0.421155064418696,"使用性质",0.385007172127729,"代理人代码",-0.0441652154082062,"投保人年龄",0.0942085278858125,"续保标志",-0.136234096814647,"投保人是否有电话",0.428593995110127,"使用性质",0.389099811436346,"代理人代码",-0.0441938059171592,"机动车细类",0.129025505288671,"实际价值",0.110924184222225,"理赔周期",0.195780534013977,"本车是否投保不计免赔标识",0.36099163369394,"三者险是否投保不计免赔标识",0.360956954325498
"6","上年浮动原因码",-0.361889483092476,"上年浮动原因码",0.347652966468816,"被保人是否有电话",0.132035650754738,"使用性质",0.155564371205065,"三者险限额",0.160379921193756,"三者险限额",0.117090158258926,"手续费比例",0.186713452635161,"三者险保费",0.635284158699421,"新车购置价",0.564743460268238,"总保额",0.406948869802006,"机构代码",0.158355060625048,"支公司代码",-0.199813527387525,"总保额",0.576484177198127,"车损险保额",0.184149972219416,"总折扣金额",0.0674729058653843,"上年浮动原因码",0.333433617040191,"总保额",0.539367895198507,"机动车大类",-0.462767989983076,"三者险保费",0.0834089603003745,"本车是否投保不计免赔标识",-0.12577421504929,"业务渠道",0.124859552739418,"连续被续保年限",-0.173615085702633,"连续被续保年限",0.156592959650538,"上年浮动原因码",0.361025698398918,"客户忠诚度系数",0.360963902793729,"分公司代码",-0.17495688912507,"保单是否有免赔额",-0.278042829906718,"车辆已使用年限",-0.113114991541279,"被保人与车辆关系",0.0466617561365388,"上年出险次数",-0.0299433156968244,"总保额",0.564743460268238,"总保额",0.565448045591477,"总保额",0.121623555757675,"上年浮动原因码",-0.244214300601556,"总保费",-0.352893718720069,"使用性质",0.460044757784415,"三者险保费",-0.392366952473061,"机动车大类",0.317931040985734,"机动车大类",0.438679841130927,"使用性质",0.460816768030207,"投保人是否有身份证号",0.0518384532085529,"使用性质",-0.0739924440554075,"标的车辆种类",0.0350334486394062,"三者险保费",0.153556016543194,"被保人是否有身份证号",-0.0320349475757296,"标的车辆种类",0.460816768030207,"三者险保费",-0.385239098112757,"支付周期",-0.160537845388113,"总保费",0.111491996130905,"总保费",0.10206700157472,"车损赔款",0.0240063696952566,"支付周期",0.075558384561606,"上年浮动原因码",0.0267482217331095,"交管车辆类型",-0.0772396936719086,"连续被续保年限",0.104698544355144,"号牌种类代码",0.391192539358141,"险种代码",0.173065160590956,"手续费比例",0.0396302481127188,"交管车辆类型",-0.0776739532491933,"连续被续保年限",0.104519890142681,"号牌种类代码",0.398666410719133,"险种代码",0.173431137991681,"手续费比例",0.0396559028944962,"出险次数",-0.121878619751163,"车损险保额",0.110372727686563,"车损险保费",0.179137410724203,"三者险是否投保不计免赔标识",0.360963902793729,"险种代码",0.347652966468816
"7","客户忠诚度系数",-0.361770708402427,"客户忠诚度系数",0.345755654893183,"投保人是否有电话",0.128050838602472,"标的车辆种类",0.147105409988005,"行驶区域代码",0.141248871943831,"总保额",0.106461365287471,"业务渠道",-0.120805011323842,"总保额",0.627840237419619,"车损险保费",0.539367895198507,"车损险保费",0.403262944250225,"续保标志",0.145195811917766,"三者险保费",-0.188623057307304,"总折扣金额",0.496880723311381,"实际价值",0.182698703677068,"座位数",0.0531221547922528,"客户忠诚度系数",0.32611675852853,"总折扣金额",0.403262944250225,"车牌底色代码",-0.414414052814218,"使用性质",-0.0662648609087284,"三者险是否投保不计免赔标识",-0.125734105700425,"保单号",-0.124090471408869,"上年浮动原因码",0.172480244367761,"被保人年龄",0.14729475899932,"客户忠诚度系数",0.36099163369394,"上年浮动原因码",0.360956954325498,"车损险保额",0.168133523697053,"车损险附加险个数",0.193593862620247,"上年浮动原因码",0.112028803785628,"被续保标志",-0.0383085052286265,"是否批改关系人",0.026916034288686,"总折扣金额",0.501884091015167,"总折扣金额",0.500499950763093,"上年出险次数",-0.100803077372104,"车损险附加险个数",-0.194958136671152,"机动车细类",0.219431111640208,"号牌种类代码",0.438679841130927,"号牌种类代码",0.384648176966711,"被保人是否有身份证号",0.297663415772132,"被保人是否有身份证号",0.398666410719133,"号牌种类代码",0.440675331469718,"号牌种类代码",0.0513254742852171,"机动车细类",-0.0657504750757828,"使用性质",0.0349986131143935,"总保费",0.134024875389925,"交管车辆类型",-0.031481029162756,"机动车大类",0.460044757784415,"投保人是否有身份证号",0.350796394355474,"上年出险次数",-0.121878619751163,"车损险保费",0.108935951428275,"车损险保费",0.100088848775351,"号牌种类代码",-0.0190184823516222,"总保费",0.0742181437260828,"案均赔款",0.0257912867304591,"机动车大类",-0.0658215434612456,"被续保标志",-0.102473852384016,"交管车辆类型",0.350796394355474,"号牌种类代码",0.164415028735699,"中心支公司代码",0.0384511192423757,"标的车辆种类",-0.0669371087052468,"被续保标志",-0.102223523092588,"交管车辆类型",0.349135225814497,"号牌种类代码",0.164467838117224,"中心支公司代码",0.0382552783059851,"车辆已使用年限",0.107835880797267,"新车购置价",0.109152161476906,"车损险保额",0.17324007269399,"险种代码",0.345755654893183,"保单是否有免赔额",0.333433617040191
"8","三者险附加险个数",0.336528776426466,"三者险附加险个数",-0.311448440135095,"连续被续保年限",0.124859552739418,"机动车大类",0.146931160755791,"车辆已使用年限",0.132438520062748,"车牌底色代码",0.0997558229128434,"交管车辆类型",-0.103114123615381,"总折扣金额",0.41276077016267,"附加乘员险保额",0.478140674264092,"上年浮动原因码",-0.280989493874091,"使用性质",-0.143981523656684,"被保人是否有身份证号",0.174272364682955,"车辆生产国别",-0.397300450853081,"新车购置价",0.1797042802534,"使用性质",-0.0518915391932133,"三者险附加险个数",-0.278042829906718,"车辆生产国别",-0.388579205007048,"机动车细类",-0.392366952473061,"车损险保费",0.0620694023384994,"车辆已使用年限",-0.118125063070472,"本车是否投保不计免赔标识",0.123922066227829,"代理人代码",-0.158651968277399,"投保人年龄",0.146765904726791,"三者险附加险个数",-0.337870282037515,"三者险附加险个数",-0.337914311562916,"新车购置价",0.165056907177882,"分公司代码",0.188276931215345,"机构代码",0.107305536488045,"标的车辆种类",0.0381732018964324,"交管车辆类型",-0.021881470880037,"车辆生产国别",-0.39373159066987,"车辆生产国别",-0.395509576523729,"客户忠诚度系数",-0.0963684709953966,"总折扣金额",0.184534089057018,"交管车辆类型",0.211039666234181,"被保人是否有身份证号",0.343427778020529,"被保人是否有身份证号",0.341709248199097,"投保人是否有身份证号",0.296378088541953,"投保人是否有身份证号",0.391192539358141,"被保人是否有身份证号",0.343842345068057,"机构代码",0.0512783277798144,"投保人是否有身份证号",-0.0627582977555178,"车损险附加险个数",-0.0269195680212443,"车牌底色代码",-0.106806216519694,"投保人是否有身份证号",-0.0312434938365154,"机动车细类",0.425139059231958,"被保人是否有身份证号",0.349135225814497,"上年浮动原因码",-0.119184902211468,"车损险保额",0.0968583916637979,"车损险保额",0.0896464406073544,"使用性质",-0.0155262903074568,"三者险保费",0.0692571922805726,"总保费",0.0250336641459381,"标的车辆种类",-0.0657769655928114,"被保人性别",0.0942085278858125,"三者险保费",-0.34835713382413,"保单号",-0.156471134236233,"交管车辆类型",-0.0351299551826062,"机动车大类",-0.0669282109119456,"被保人性别",0.0949016335439809,"三者险保费",-0.348224973315845,"保单号",-0.156645173626316,"交管车辆类型",-0.0351536961146103,"机动车大类",0.107716127216874,"上年浮动原因码",0.0837575028440327,"新车购置价",0.168611052895495,"保单是否有免赔额",0.32611675852853,"总折扣金额",-0.280989493874091
"9","被保人是否有电话",-0.156645173626316,"被保人是否有电话",0.173431137991681,"支公司代码",-0.120805011323842,"被保人是否有身份证号",0.126665223612187,"续保年限",0.129006458773071,"险种代码",0.0958176439161812,"上年浮动原因码",-0.0994209947818549,"车辆生产国别",-0.352893718720069,"附加乘员险保费",0.47559376333275,"三者险限额",0.225066785003465,"三者险保费",0.141934033944758,"总保费",-0.17097868434669,"三者险限额",0.184149972219416,"车损险保费",0.161326539942729,"被保人是否有身份证号",-0.0511533908333383,"被保人是否有电话",0.14629388454962,"三者险保费",0.322947244957163,"交管车辆类型",-0.385239098112757,"总折扣金额",0.060239637334977,"险种代码",-0.117840518855422,"三者险是否投保不计免赔标识",0.123886467657041,"手续费比例",0.145195811917766,"上年浮动原因码",-0.146655735367489,"被保人是否有电话",0.154918550822036,"被保人是否有电话",0.15486781616564,"实际价值",0.159993340224455,"总保额",0.162610052452253,"续保年限",-0.0964766214357707,"机动车大类",0.0380473863418346,"使用性质",-0.0208229502208954,"三者险限额",0.1797042802534,"三者险限额",0.182698703677068,"投保人是否有电话",-0.0872390152010423,"分公司代码",0.132438520062748,"总折扣金额",-0.202369416180896,"投保人是否有身份证号",0.339801170354163,"投保人是否有身份证号",0.335626890888938,"机动车细类",0.29622852207514,"机动车细类",0.384648176966711,"投保人是否有身份证号",0.340226389441706,"上年浮动原因码",0.0510809245286103,"机动车大类",-0.0626874512260362,"总保费",-0.0256099011990352,"被保人是否有身份证号",-0.105063311590957,"手续费比例",0.0239151286758118,"交管车辆类型",0.422347936640387,"号牌种类代码",0.346494960375517,"机动车细类",-0.0833581569109927,"新车购置价",0.0942611448962411,"新车购置价",0.0873705215326493,"机动车大类",-0.0149160438454577,"车损险保费",0.0597031369328904,"本车是否投保不计免赔标识",0.0249642589507704,"使用性质",-0.0422702777128535,"投保人性别",0.094024370412532,"标的车辆种类",0.340226389441706,"本车是否投保不计免赔标识",0.154753868410898,"三者险限额",0.034260654311472,"使用性质",-0.0434470109948776,"投保人性别",0.0939273029810843,"标的车辆种类",0.343842345068057,"本车是否投保不计免赔标识",0.154918550822036,"三者险限额",0.0341964393284174,"标的车辆种类",0.107682687506646,"总保额",0.0709187881077095,"实际价值",0.167464053767562,"续保年限",-0.29762304019006,"车辆已使用年限",-0.244214300601556
"10","投保人是否有电话",-0.156471134236233,"投保人是否有电话",0.173065160590956,"客户忠诚度系数",0.0975489690636362,"机动车细类",0.121783502999202,"上年浮动原因码",0.118556773869334,"被保人与车辆关系",0.0896627373603095,"车损险保费",0.0842506995413794,"号牌种类代码",-0.350638920714538,"总折扣金额",0.406948869802006,"三者险保费",0.214406915691609,"总保费",0.138675547038336,"投保人是否有身份证号",0.170176416233603,"车损赔款",0.17324007269399,"分公司代码",0.160379921193756,"投保人是否有身份证号",-0.0498128881119473,"投保人是否有电话",0.145656911204859,"车损险附加险个数",0.206516495067825,"三者险限额",0.373085127830686,"被保人是否有身份证号",-0.0578951443128578,"手续费比例",0.115307848764389,"代理人代码",0.118544027357193,"总折扣金额",-0.140910167147009,"代理人代码",0.143260163756365,"投保人是否有电话",0.154753868410898,"投保人是否有电话",0.154704338816766,"机动车大类",0.155667676829805,"总折扣金额",0.153290936788629,"总保费",0.0853740563364084,"三者险保费",-0.0368871650414514,"机动车细类",-0.0203124640149356,"车损赔款",0.168611052895495,"车损赔款",0.167464053767562,"被保人是否有电话",-0.0863853483568498,"代理人代码",0.129694058678329,"总保额",-0.200622133835735,"车牌底色代码",0.317931040985734,"车牌底色代码",0.29622852207514,"交管车辆类型",0.28795672512318,"总保费",-0.350638920714538,"车牌底色代码",0.319310465541237,"被保人是否有身份证号",0.0473973245423254,"标的车辆种类",-0.0626816036937296,"交管车辆类型",0.0225547483840014,"投保人是否有身份证号",-0.100594049624596,"三者险保费",0.020850879978945,"被保人是否有电话",0.389099811436346,"车牌底色代码",0.28795672512318,"报案周期",-0.0769590451594605,"实际价值",0.0938392496536658,"实际价值",0.0869512440407153,"标的车辆种类",-0.0148848079503963,"号牌种类代码",-0.0485615033260537,"三者险是否投保不计免赔标识",0.0249626030004535,"投保人是否有身份证号",-0.0320506517312726,"上年浮动原因码",-0.0931270561041828,"机动车大类",0.339801170354163,"三者险是否投保不计免赔标识",0.154704338816766,"总保额",0.0270692965066621,"被保人是否有身份证号",-0.0320096869919322,"上年浮动原因码",-0.0929701375694104,"机动车大类",0.343427778020529,"三者险是否投保不计免赔标识",0.15486781616564,"总保额",0.026906250269624,"是否约定驾驶员标志",-0.10491548654427,"三者险保费",0.0587518307066874,"总保费",0.156066024562905,"支公司代码",-0.206607136549393,"上年出险次数",0.209707210883384
